bank,file_start,file_end,cpu_start,cpu_end,classification,status,confidence,source_sha256,notes
0x00,0x000000,0x003fff,0x0000,0x3fff,header-and-code,fingerprinted,high,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,bank_sha256=49a72079d41f4b598508e3e59eedf7bebc59a0cc4b87641f788acadfbcc36bf4; entropy=7.170967; unique_bytes=256; zero_bytes=385; ff_bytes=170
0x01,0x004000,0x007fff,0x4000,0x7fff,unclassified,fingerprinted,low,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,bank_sha256=4aaf7e5b8a0725e88d83683d27f194b656e3aa0cd996b226a4fe5d340af1b0af; entropy=7.269861; unique_bytes=256; zero_bytes=587; ff_bytes=81
0x02,0x008000,0x00bfff,0x4000,0x7fff,unclassified,fingerprinted,low,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,bank_sha256=4583375c15a049e1367b6b502de6781688da83768fc9c33b44f3868b5930c6c8; entropy=6.979873; unique_bytes=254; zero_bytes=386; ff_bytes=255
0x03,0x00c000,0x00ffff,0x4000,0x7fff,unclassified,fingerprinted,low,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,bank_sha256=3e11166cdb5ac79215578855b24d48a69ab35fff98c918d80fb1903569f92021; entropy=7.336372; unique_bytes=256; zero_bytes=398; ff_bytes=254
0x04,0x010000,0x013fff,0x4000,0x7fff,unclassified,fingerprinted,low,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,bank_sha256=4ab0bef09929b94c5df46d712984e74e16826db4cf656d2c01f285aeea0e7e5c; entropy=6.799314; unique_bytes=256; zero_bytes=2161; ff_bytes=301
0x05,0x014000,0x017fff,0x4000,0x7fff,unclassified,fingerprinted,low,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,bank_sha256=e6da555ad7b88ef43927abb41c774e5778e2938eb72dab5be4e54672e9482b22; entropy=6.30625; unique_bytes=256; zero_bytes=800; ff_bytes=179
0x06,0x018000,0x01bfff,0x4000,0x7fff,unclassified,fingerprinted,low,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,bank_sha256=a04bb73fa3a1701dc824c05a9549aa1120e0d54813c5ca71ea3cebc0f68d541b; entropy=7.256267; unique_bytes=256; zero_bytes=368; ff_bytes=157
0x07,0x01c000,0x01ffff,0x4000,0x7fff,unclassified,fingerprinted,low,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,bank_sha256=5b15dc20b5cce2e63189092faf45ddd5ef9455b2d9d60bb0cc56658f516972de; entropy=7.180663; unique_bytes=253; zero_bytes=373; ff_bytes=228
0x08,0x020000,0x023fff,0x4000,0x7fff,unclassified,fingerprinted,low,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,bank_sha256=4a6e6cb3efd745bee62225df9ebeb67fc6dd8a241b7e774a12b58e8afb2eac94; entropy=7.06191; unique_bytes=256; zero_bytes=313; ff_bytes=284
0x09,0x024000,0x027fff,0x4000,0x7fff,unclassified,fingerprinted,low,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,bank_sha256=aa558c1a08c8d8857c74bbfb2af68d659351a0a72f0752a02be8ad077c52acb7; entropy=7.823547; unique_bytes=256; zero_bytes=28; ff_bytes=259
0x0a,0x028000,0x02bfff,0x4000,0x7fff,unclassified,fingerprinted,low,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,bank_sha256=c9a5c018aceadf4a5a44358847d47de5bdcde38a9ff3871e390651774e7c70b7; entropy=7.821027; unique_bytes=256; zero_bytes=41; ff_bytes=314
0x0b,0x02c000,0x02ffff,0x4000,0x7fff,unclassified,fingerprinted,low,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,bank_sha256=2ad5e1ec5e4aeb70dfa0e1bf3d46640164177b612991231af1fe9ee78e9b59e2; entropy=7.810269; unique_bytes=256; zero_bytes=224; ff_bytes=370
0x0c,0x030000,0x033fff,0x4000,0x7fff,unclassified,fingerprinted,low,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,bank_sha256=54e7bc733afce3b4a5f24e634d70e247ac93674f82daa13ff34fe95128ea4bd0; entropy=7.815353; unique_bytes=256; zero_bytes=31; ff_bytes=306
0x0d,0x034000,0x037fff,0x4000,0x7fff,unclassified,fingerprinted,low,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,bank_sha256=5346501cd6bfa430978376ddc7b727b3267294813b71bdc8637703ec8004d94a; entropy=7.804504; unique_bytes=256; zero_bytes=300; ff_bytes=441
0x0e,0x038000,0x03bfff,0x4000,0x7fff,unclassified,fingerprinted,low,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,bank_sha256=527cce29cab0b0c4a38e1112962979f19b215ca22af87551656c4fe5442ff8b1; entropy=7.139959; unique_bytes=256; zero_bytes=2021; ff_bytes=373
