bank,file_start,file_end,jp_en_equal_ratio,intl_pair_min_equal_ratio,intl_pair_avg_equal_ratio,all_six_exactly_identical,notes
0,0x000000,0x004000,0.031006,0.317627,0.452875,false,
1,0x004000,0x008000,0.065186,0.159790,0.170715,false,
2,0x008000,0x00C000,0.998535,0.999146,0.999512,false,
3,0x00C000,0x010000,0.022705,0.469177,0.483838,false,
4,0x010000,0x014000,0.056702,0.625977,0.704059,false,
5,0x014000,0x018000,0.955139,0.969299,0.985645,false,
6,0x018000,0x01C000,0.249939,0.719299,0.866663,false,
7,0x01C000,0x020000,0.045654,0.606445,0.687830,false,
8,0x020000,0x024000,0.338135,0.339844,0.392169,false,
9,0x024000,0x028000,0.962280,0.969849,0.972400,false,
10,0x028000,0x02C000,0.984192,0.999023,0.999243,false,
11,0x02C000,0x030000,0.941467,0.998230,0.998578,false,
12,0x030000,0x034000,0.990112,0.998779,0.999274,false,
13,0x034000,0x038000,0.814331,0.835815,0.898163,false,
14,0x038000,0x03C000,0.333252,0.485474,0.497906,false,
15,0x03C000,0x040000,0.037476,0.288757,0.309381,false,
16,0x040000,0x044000,0.099426,0.468872,0.496503,false,
17,0x044000,0x048000,0.028259,0.942749,0.953174,false,
18,0x048000,0x04C000,0.035583,0.611023,0.650769,false,
19,0x04C000,0x050000,0.958130,0.992798,0.993634,false,
20,0x050000,0x054000,0.196960,0.635803,0.643951,false,
21,0x054000,0x058000,0.328430,0.899719,0.909460,false,
22,0x058000,0x05C000,0.230591,0.940063,0.950488,false,
23,0x05C000,0x060000,0.043091,0.581970,0.620581,false,
24,0x060000,0x064000,0.079590,0.944824,0.955115,false,
25,0x064000,0x068000,0.996338,0.997681,0.998340,false,
26,0x068000,0x06C000,0.997498,0.190186,0.375781,false,
27,0x06C000,0x070000,1.000000,1.000000,1.000000,true,exact match across all six verified releases
28,0x070000,0x074000,0.045166,0.174927,0.228534,false,
29,0x074000,0x078000,0.017822,0.404419,0.415387,false,
30,0x078000,0x07C000,0.086060,0.980469,0.989258,false,
31,0x07C000,0x080000,0.999451,0.999817,0.999854,false,
32,0x080000,0x084000,,0.191467,0.247729,false,no Japanese bank: international ROMs exceed 512 KiB
33,0x084000,0x088000,,0.181458,0.243677,false,no Japanese bank: international ROMs exceed 512 KiB
34,0x088000,0x08C000,,0.175293,0.227612,false,no Japanese bank: international ROMs exceed 512 KiB
35,0x08C000,0x090000,,0.178650,0.260376,false,no Japanese bank: international ROMs exceed 512 KiB
36,0x090000,0x094000,,0.187317,0.271124,false,no Japanese bank: international ROMs exceed 512 KiB
37,0x094000,0x098000,,0.212646,0.278418,false,no Japanese bank: international ROMs exceed 512 KiB
38,0x098000,0x09C000,,0.195862,0.255609,false,no Japanese bank: international ROMs exceed 512 KiB
39,0x09C000,0x0A0000,,0.247803,0.290381,false,no Japanese bank: international ROMs exceed 512 KiB
40,0x0A0000,0x0A4000,,0.235657,0.277209,false,no Japanese bank: international ROMs exceed 512 KiB
41,0x0A4000,0x0A8000,,0.222290,0.264886,false,no Japanese bank: international ROMs exceed 512 KiB
42,0x0A8000,0x0AC000,,0.944153,0.949554,false,no Japanese bank: international ROMs exceed 512 KiB
43,0x0AC000,0x0B0000,,0.161621,0.184949,false,no Japanese bank: international ROMs exceed 512 KiB
44,0x0B0000,0x0B4000,,0.900879,0.903113,false,no Japanese bank: international ROMs exceed 512 KiB
