file,bank,offset_start,offset_end,sha1,sha256
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,00,0x000000,0x003FFF,3fd427297d15e9f0b13a2e83fb233d8946623bf4,f994cf96e7036f90568e1a11fa1a6e24c93907dc7aafd34618555a3867a03815
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,01,0x004000,0x007FFF,6f6cc23177be4dd3d4394a3133193ac6a54835c2,2f9f52a55ac24ed4fe7776302fa4bdf36b492db84006ae80262dc9dc83ca4291
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,02,0x008000,0x00BFFF,ab32dbc81b14be10440e73be148cc50e8962e1e6,a1a4e68cfb521d12bb9b36c1fb032207a697e03b9db90cb9348981695bcbc535
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,03,0x00C000,0x00FFFF,c90b4a2cfa8ee07864fa493b972f29516af58eee,b06fbdffa987e5b28bb4128634fdc379d102e10741652179b452c51a0336559b
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,04,0x010000,0x013FFF,307a4523b1fa88cfcf73d851571bd5805ffee618,047296f81b58811f20d9ea6ef2c0ea7f460a53e931a581967d786a422e521826
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,05,0x014000,0x017FFF,13b966337452244b8c34e8450b4ca2fcb4288379,04ea0d1e2cd48d0ca6d397d78ff0843aa280bc63876379d4062ecab0340ba27b
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,06,0x018000,0x01BFFF,45853456f934b9aa5b93fcade10d50a00c516b1a,f1552c16f5def3fdfaca4ed4f1b79f10028998051913f4ce95693b1526a325d8
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,07,0x01C000,0x01FFFF,60ca8ff3921753cea70790d469577fbd6f62afa5,f4ac73c0cf085d6c967daa738aa2aa5190dee6ab88586b07a8b593bc6b8a88ab
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,08,0x020000,0x023FFF,19b00ddcf0ee8a3a69eb8fec177827692aaa9492,d254863d9f991c1ab9c69d6275e33a47a56919bc6131f31f7f0ad5f2aed34280
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,09,0x024000,0x027FFF,76bfde2094a59995deb09be6cd027775bffde92c,e5bc40ea0cac20ce6ec088671a5c52e05c0258017b72ad9008f6056e1b556a48
